release_file	original_archive_sha256	release_sha256	relationship	provenance_basis
results/ST2.tsv	1054c1014390fa270391712f44b29471d49fc28eb1856912469dd51679fb7b98	1054c1014390fa270391712f44b29471d49fc28eb1856912469dd51679fb7b98	byte-identical	Project-generated summary or provenance; no underlying third-party source values
results/ST2_joint_tests.tsv	513e7f18b130f35ee2f3c607bb311a37eb6c68729872ac53765e97ece0e245d8	513e7f18b130f35ee2f3c607bb311a37eb6c68729872ac53765e97ece0e245d8	byte-identical	Project-generated summary or provenance; no underlying third-party source values
source_summaries/Figure3_temporal.tsv	1eb499aa39a5401fd0c5fe2ad27454ea378b7a07af494f098a4ffc27e8b24d4a	1eb499aa39a5401fd0c5fe2ad27454ea378b7a07af494f098a4ffc27e8b24d4a	byte-identical	Project-generated summary or provenance; no underlying third-party source values
source_summaries/S1_profile_statistics.tsv	ebef82257f298e9ba29c969d88d3013a92b6e480d6ffaa5f87e3a55a6cf9b597	ebef82257f298e9ba29c969d88d3013a92b6e480d6ffaa5f87e3a55a6cf9b597	byte-identical	Project-generated summary or provenance; no underlying third-party source values
source_summaries/S2_attributes.tsv	14a2eae3c3cc1ef9e029004d9c5692372392c4e5d9d6ca69982c9c391ae8bf86	14a2eae3c3cc1ef9e029004d9c5692372392c4e5d9d6ca69982c9c391ae8bf86	byte-identical	Project-generated summary or provenance; no underlying third-party source values
source_summaries/S2_attrition_flow.tsv	33260272737b57e0cc513378608b5a110ab31f4f9863fcdbaa1e63a3995a57cc	33260272737b57e0cc513378608b5a110ab31f4f9863fcdbaa1e63a3995a57cc	byte-identical	Project-generated summary or provenance; no underlying third-party source values
source_summaries/S2_multiplicity.tsv	fed9d3931ce1b0bcb7b2ffe239ffdbe2ca484559d1fbeba0b4fb35d767546119	fed9d3931ce1b0bcb7b2ffe239ffdbe2ca484559d1fbeba0b4fb35d767546119	byte-identical	Project-generated summary or provenance; no underlying third-party source values
source_summaries/S3_B_constants.tsv	22efde8dca85ee103d56ec7d91de14141aa89271a9127fd40bd7e6ce455233e1	22efde8dca85ee103d56ec7d91de14141aa89271a9127fd40bd7e6ce455233e1	byte-identical	Project-generated summary or provenance; no underlying third-party source values
source_summaries/S3_invariance.tsv	c9e24696aaa28003b32ec976f79c9e70fa39aba5ee7f3b5daf8eb103c85c9747	c9e24696aaa28003b32ec976f79c9e70fa39aba5ee7f3b5daf8eb103c85c9747	byte-identical	Project-generated summary or provenance; no underlying third-party source values
source_summaries/ST2_archived_summary.txt	c1a13cebd5b16a7cd702e9c3c2338b2568361fa3f6b1a33104f278c175662edc	c1a13cebd5b16a7cd702e9c3c2338b2568361fa3f6b1a33104f278c175662edc	byte-identical	Project-generated summary or provenance; no underlying third-party source values
manifests/P5_PREREVEAL_BRIDGE_MODEL_FREEZE_SHA256SUMS.txt	a6674ba93937ca9e64dae95bf1aa65e354c7991f02ddbcdbfd8f21af2ada75ef	c141b22a738beacfb35c2ebad4a595a752e2e57e0cab0ab2e0146610b33fc1f6	path-redacted metadata	Project-generated summary or provenance; no underlying third-party source values
manifests/P5_PREREVEAL_BRIDGE_MODEL_SPEC.yaml	4eeab635d97f342afc4ccc936aa323ed746698d5699b9721d051da46451a98be	4eeab635d97f342afc4ccc936aa323ed746698d5699b9721d051da46451a98be	byte-identical	Project-generated summary or provenance; no underlying third-party source values
manifests/P5_STAGE1A_EVOLUTION_SIDE_FINAL_FREEZE_SHA256SUMS.txt	c2270f4fd4e929d85a3a435cfee082e6130e97ce598a39bb671669ce10a43b50	c2270f4fd4e929d85a3a435cfee082e6130e97ce598a39bb671669ce10a43b50	byte-identical	Project-generated summary or provenance; no underlying third-party source values
manifests/P5_STAGE1_EVOLUTION_SCORE_SPEC.yaml	515533a81147a19555c62370cf6a8cbc90275d0b2e622c97b4947671dbd820ae	515533a81147a19555c62370cf6a8cbc90275d0b2e622c97b4947671dbd820ae	byte-identical	Project-generated summary or provenance; no underlying third-party source values
manifests/P5_V2_FINAL_REVEAL_IMPLEMENTATION_FREEZE_SHA256SUMS.txt	7c737e5ef6d71299b5d843c5cf2a991a5067f89243f564911084f35dabf9521e	c1654bc1d12559d4c0bb34d8b06bfd2065e33e023c8122d6ef5b11c18e682a4c	path-redacted metadata	Project-generated summary or provenance; no underlying third-party source values
manifests/P5_V2_MPT_12RUN_MANIFEST.tsv	367153bf576f620005b72a6d6dd806b99ea8acb18cbc5f8e84fb92154f14da66	367153bf576f620005b72a6d6dd806b99ea8acb18cbc5f8e84fb92154f14da66	byte-identical	Project-generated summary or provenance; no underlying third-party source values
manifests/P5_V2_OSTA_6RUN_MANIFEST.tsv	3770dca309a030c1e5adbe46ab93332eaa54d8765662a067ea6157679bbb8290	3770dca309a030c1e5adbe46ab93332eaa54d8765662a067ea6157679bbb8290	byte-identical	Project-generated summary or provenance; no underlying third-party source values
manifests/P5_V2_OSTA_SPECIFICITY_FREEZE.yaml	2ca23874e7e665c7b1d1abf4de52b75e7c190872f53499778bdd7fe2c786abdf	2ca23874e7e665c7b1d1abf4de52b75e7c190872f53499778bdd7fe2c786abdf	byte-identical	Project-generated summary or provenance; no underlying third-party source values
manifests/P5_V2_OSTA_SPECIFICITY_FREEZE_SHA256SUMS.txt	931416a24f095c9e9559a82d9409db923bac51e0bc3874fd87b7861c57c912dd	931416a24f095c9e9559a82d9409db923bac51e0bc3874fd87b7861c57c912dd	byte-identical	Project-generated summary or provenance; no underlying third-party source values
manifests/P5_V2_PREREVEAL_MPT_MODEL_FREEZE_SHA256SUMS.txt	84cd821a823f3b17fe3e2fcc688df908ede76986f5ce790eea173fe5c9de98d5	1954e2f555ba49b9e1e6b3270b7aadc7690135f40ca3fc1a26a13c88ec30a20b	path-redacted metadata	Project-generated summary or provenance; no underlying third-party source values
manifests/P5_V2_PREREVEAL_MPT_MODEL_SPEC.yaml	181ed0bef6bc81e4750f421c1e0b3f79a7bfd5fc55432d60664a191d7854b912	181ed0bef6bc81e4750f421c1e0b3f79a7bfd5fc55432d60664a191d7854b912	byte-identical	Project-generated summary or provenance; no underlying third-party source values
manifests/software_versions.json	0705531db77327071b1f67a6b2e26fb57eb3ca53871f4be75fefd88de6b3772a	0705531db77327071b1f67a6b2e26fb57eb3ca53871f4be75fefd88de6b3772a	byte-identical	Project-generated summary or provenance; no underlying third-party source values
DATA_DICTIONARY.md	cbe905ea49cc6047b903ff4653209d9f9cb0ecc107f2f1b616efce8b0d5b1fa9	cbe905ea49cc6047b903ff4653209d9f9cb0ecc107f2f1b616efce8b0d5b1fa9	byte-identical	Project documentation
ENVIRONMENT.md	477a3475df4f50431b3f6d6efff34bbbb4ed30a7ae27f3176baaa2c5f42055bb	477a3475df4f50431b3f6d6efff34bbbb4ed30a7ae27f3176baaa2c5f42055bb	byte-identical	Project documentation
ACCESSION_MANIFEST.tsv	b7885fc93817acd0413edceb9a00557c0018a1cbcd3aad48396a1482b3ad257f	6a558ae3fe9cd1790e76321ce2c4d26c44a3381efbf8dcb1132e1637f9d40a00	documentation release derivative	Project documentation; release copy differs from the original archive as shown by the recorded SHA256 values.
ACCESSIONS.md	0ab907c7d9a5f2bb71199d4977a6b07fc47846f41a5ce45cad195f42b826c381	0ab907c7d9a5f2bb71199d4977a6b07fc47846f41a5ce45cad195f42b826c381	byte-identical	Project documentation
PACKAGING_ENVIRONMENT.json	e436b3e37534e74deff9224c0eebf18a451d780da9a250b8c638bff3a6225033	e436b3e37534e74deff9224c0eebf18a451d780da9a250b8c638bff3a6225033	byte-identical	Project documentation
SCRIPT_TO_RESULT_MAP.tsv	f2e808a0b5b1dc980f600ceab3866b3fc3701633e5c3e077ae3277dd685910c6	3cb3097fb983149a225ddf2798f352f206f32ea61822435611b4372b4fa38ff3	sanitized metadata	Project documentation; renderer role clarified as historical and non-authoritative for final frozen presentation.
